date,min_temp_c,max_temp_c,rainfall_mm,wind_dir,conditions
2026-09-01,11.8,20.0,,SE,Windy
2026-09-02,9.1,18.0,,S,Showers
2026-09-03,8.6,14.5,0,N,Partly cloudy
2026-09-04,6.9,13.4,0,N,Cloudy
2026-09-05,8.9,17.7,0,SW,Windy
2026-09-06,8.8,16.6,0.4,N,Cloudy
2026-09-07,8.1,17.4,1.9,SW,Showers
2026-09-08,6.5,12.8,0,SE,Cloudy
2026-09-09,11.1,20.9,4.3,SW,Showers
2026-09-10,11.3,19.1,0,NW,Cloudy
2026-09-11,6.4,17.1,,SE,Windy
2026-09-12,7.3,12.6,0,SE,Windy
2026-09-13,10.6,18.4,2.8,W,Showers
2026-09-14,6.7,17.6,6.2,SW,Sunny
2026-09-15,6.1,12.6,6.8,N,Partly cloudy
2026-09-16,11.3,21.3,0.5,NW,Cloudy
2026-09-17,6.5,15.9,5.9,S,Windy
2026-09-18,7.2,15.0,0,SW,Sunny
2026-09-19,11.4,17.8,5.1,W,Partly cloudy
2026-09-20,8.5,14.4,0,SW,Sunny
2026-09-21,6.9,16.0,0,W,Sunny
2026-09-22,9.0,18.5,2.9,N,Sunny
2026-09-23,11.3,21.2,1.0,SE,Cloudy
2026-09-24,6.6,12.7,0.7,SW,Sunny
2026-09-25,10.1,16.5,0,S,Partly cloudy
2026-09-26,6.7,11.8,3.0,NW,Sunny
2026-09-27,10.1,17.5,,SE,Windy
2026-09-28,11.3,20.1,0.1,W,Partly cloudy
2026-09-29,9.9,20.8,0.3,NW,Partly cloudy
2026-09-30,7.3,17.1,1.3,W,Showers
