aisle,department,sku,cartons_received,cartons_filled,minutes_taken,shift
7,Frozen,SKU189000,17,17,44,Sun
8,Dairy,SKU824473,21,21,28,Tue
6,Produce,SKU227696,11,9,10,Sun
4,Grocery,SKU215455,28,27,47,Sat
6,Produce,SKU304910,27,27,22,Sat
16,Bakery,SKU347275,9,9,24,Mon
7,Health & Beauty,SKU210973,7,7,48,Thu
12,Produce,SKU708308,24,22,51,Thu
1,Health & Beauty,SKU199996,18,18,26,Thu
15,Grocery,SKU827944,29,27,23,Mon
18,Frozen,SKU917325,10,10,,Tue
9,Health & Beauty,SKU763556,5,5,8,Mon
10,Grocery,SKU321344,30,30,52,Mon
13,Health & Beauty,SKU313511,19,19,27,Tue
10,Dairy,SKU469804,34,34,44,Wed
18,Produce,SKU789929,27,27,45,Tue
2,Bakery,SKU272525,35,35,39,Sat
3,Frozen,SKU720281,17,17,21,Thu
3,Health & Beauty,SKU729400,23,23,51,Thu
12,Bakery,SKU761723,25,24,45,Wed
18,Health & Beauty,SKU893192,27,27,55,Sat
1,Dairy,SKU754156,7,5,42,Thu
3,Produce,SKU865913,13,13,44,Wed
11,Dairy,SKU377432,5,5,22,Mon
6,Dairy,SKU410257,10,10,17,Wed
13,Frozen,SKU831609,13,12,55,Wed
5,Health & Beauty,SKU423539,25,25,48,Mon
15,Produce,SKU830458,29,29,53,Fri
10,Bakery,SKU119656,4,4,21,Mon
1,Health & Beauty,SKU788943,13,11,27,Fri
10,Frozen,SKU391694,26,25,13,Fri
17,Health & Beauty,SKU817332,15,13,27,Thu
11,Produce,SKU319018,18,17,52,Tue
18,Grocery,SKU296681,24,24,52,Thu
5,Produce,SKU167689,5,4,55,Thu
12,Frozen,SKU468653,31,31,15,Mon
4,Dairy,SKU896305,16,16,,Fri
5,Grocery,SKU900365,20,20,44,Mon
16,Health & Beauty,SKU676150,40,40,15,Sat
13,Bakery,SKU386719,23,22,24,Sun
13,Produce,SKU422946,28,28,48,Tue
8,Produce,SKU532550,15,15,42,Sun
13,Bakery,SKU380605,40,40,46,Fri
7,Frozen,SKU874221,21,19,20,Sun
