unit_code;assessment;weight_pct;mark
SWE40006;Task 1;10;
SWE40006;Task 2;10;62
SWE40006;Task 3;10;
SWE40006;Task 4;10;79
SWE40006;Project;30;89
SWE40006;Exam;30;88
SWE30003;Task 1;10;93
SWE30003;Task 2;10;69
SWE30003;Task 3;10;88
SWE30003;Task 4;10;
SWE30003;Project;30;76
SWE30003;Exam;30;
COS40005;Task 1;10;77
COS40005;Task 2;10;96
COS40005;Task 3;10;83
COS40005;Task 4;10;61
COS40005;Project;30;88
COS40005;Exam;30;
COS30017;Task 1;10;92
COS30017;Task 2;10;89
COS30017;Task 3;10;95
COS30017;Task 4;10;88
COS30017;Project;30;70
COS30017;Exam;30;63
